name,greekName,romanName,category,description,status,defense,attack,gender,images__thumbnail,images__regular,relatives__father,relatives__mother,descritpion,greekname,isgod
Podarge/Podarke,Ποδάργη/Ποδάρκη,,sea deity,,immortal,11200,1111,male,,,,,,,yes
Celaeno,Κελαινώ,,sea deity,,immortal,1100,111,male,,,,,,,yes
Nicothoe,Νικοθόη,,sea deity,,immortal,1111,1100,male,,,,,,,yes
Hippocampi,´Ιππόκαμπος,,sea deity,horses of the sea that have the upper-body of a horse and the lower-body of a fish,immortal,111,1100,male,,,,,,,yes
Ichthyocentaurs,Ιχθυοκένταυροι,,sea deity,"a race of centaurine sea-gods with the upper bodies of men, the lower fore-parts of horses, ending in the serpentine tails of fish",immortal,1100,11200,female,,,,,,,yes
Bythos,Βύθος,,sea deity,,immortal,1100,1100,female,,,,,sea depth,,yes
Aphros,Άφρος,,sea deity,,immortal,11200,1111,male,,,,,sea foam,,yes
Karkinos,Καρκίνος,,sea deity,"a giant crab who allied itself with the Hydra against Heracles. When it died, Hera placed it in the sky as the constellation Cancer",immortal,1100,111,male,,,,,,,yes
Ladon,Λάδων,,sea deity,"a hundred-headed sea serpent who guarded the western reaches of the sea, and the island and golden apples of the Hesperides",immortal,1111,1100,male,,,,,,,yes
Leucothea,Λευκοθέα,,sea deity,a sea goddess who aided sailors in distress,immortal,111,1100,male,,,,,,,yes
Nereides,Νηρηίδες,,sea deity,sea nymphs,immortal,1100,100,male,,,,,,,yes
Thetis,Θέτις,,sea deity,leader of the Nereids who presided over the spawning of marine life in the sea,immortal,1100,11100,male,,,,,,,yes
Arethusa,Αρετούσα,,sea deity,a daughter of Nereus who was transformed into a fountain,immortal,100,1111100,male,,,,,,,yes
Galene,Γαλήνη,,sea deity,goddess of calm seas,immortal,11100,11200,male,,,,,,,yes
Psamathe,Πσαμάθη,,sea deity,goddess of sand beaches,immortal,1111100,1100,male,,,,,,,yes
Nereus,Νηρέας,,sea deity,"the old man of the sea, and the god of the sea's rich bounty of fish",immortal,11200,1111,male,,,,,,,yes
Nerites,Νερίτης,,sea deity,a sea spirit who was transformed into a shell-fish by Aphrodite,immortal,1100,111,female,,,,,,,yes
Oceanus,Ὠκεανός,,sea deity,"Titan god of the Earth-encircling river Oceanus, the font of all the Earth's fresh-water",immortal,1111,1100,female,,,,,,,yes
Palaemon,Παλαίμων,,sea deity,a young sea god who aided sailors in distress,immortal,111,1100,male,,,,,,,yes
Phorcys,Φόρκυς,,sea deity,god of the hidden dangers of the deep,immortal,1100,11200,male,,,,,,,yes
Pontos,Πόντος,,sea deity,"primeval god of the sea, father of the fish and other sea creatures",immortal,1100,1100,male,,,,,,,yes
Proteus,Πρωτεύς,,sea deity,"a shape-shifting, prophetic old sea god, and the herdsman of Poseidon's seals",immortal,11200,1111,male,,,,,,,yes
Scylla,Σκύλλα,,sea deity,monstrous sea goddess,immortal,1100,111,male,,,,,,,yes
Sirens,Σειρῆνες,,sea deity,sea nymphs who lured sailors to their death with their song,immortal,1111,1100,male,,,,,,,yes
Aglaope/Aglaophonos/Aglaopheme,Αγλαόπη/Αγλαόφωνος/Αγλαοφήμη,,sea deity,,immortal,111,1100,male,,,,,,,yes
Himerope,Ίμερόπη,,sea deity,,immortal,1100,100,male,,,,,,,yes
Leucosia,Λευκοσία,,sea deity,,immortal,1100,11100,male,,,,,,,yes
Ligeia,Λιγεία,,sea deity,,immortal,100,1111100,male,,,,,,,yes
Molpe,Μολπή,,sea deity,,immortal,11100,11200,female,,,,,,,yes
Parthenope,Παρθενόπη,,sea deity,,immortal,1111100,1100,female,,,,,,,yes
Peisinoe/Peisithoe,Πεισινόη/Πεισιθόη,,sea deity,,immortal,11200,1111,male,,,,,,,yes
Raidne,Ραίδνη,,sea deity,,immortal,1100,111,male,,,,,,,yes
Teles,Τέλης,,sea deity,,immortal,1111,1100,male,,,,,,,yes
Thelchtereia,Θελχτήρεια,,sea deity,,immortal,111,1100,male,,,,,,,yes
Thelxiope/Thelxiepeia,Θελξιόπη/Θελξιέπεια,,sea deity,,immortal,1100,11200,male,,,,,,,yes
Telchines,Τελχινες,,sea deity,sea spirits native to the island of Rhodes; the gods killed them when they turned to evil magic,immortal,1100,1100,male,,,,,,,yes
Actaeus,Ακταίος,,sea deity,,immortal,11200,1111,male,,,,,,,yes
Argyron,Αργυρών,,sea deity,,immortal,1100,111,male,,,,,,,yes
Atabyrius,Αταβύριος,,sea deity,,immortal,1111,1100,male,,,,,,,yes
Chalcon,Χαλκών,,sea deity,,immortal,111,1100,male,,,,,,,yes
Chryson,Χρυσών,,sea deity,,immortal,1100,100,female,,,,,,,yes
Damon/Demonax,Δαμων/Δημώναξ,,sea deity,,immortal,1100,11100,female,,,,,,,yes
Damnameneus,Δαμναμενεύς,,sea deity,,immortal,100,1111100,male,,,,,,,yes
Dexithea,Δεξιθέα,,sea deity,mother of Euxanthios by Minos,immortal,11100,11200,male,,,,,,,yes
Lycos/Lyktos,Λύκος/Λύκτος,,sea deity,,immortal,1111100,1100,male,,,,,,,yes
Lysagora,Λυσαγόρα,,sea deity,,immortal,11200,1111,male,,,,,,,yes
Makelo,Μακελώ,,sea deity,,immortal,1100,111,male,,,,,,,yes
Megalesius,Μεγαλήσιος,,sea deity,,immortal,1111,1100,male,,,,,,,yes
Mylas,Μύλας,,sea deity,,immortal,111,1100,male,,,,,,,yes
Nikon,Νίκων,,sea deity,,immortal,1100,111,male,,,,,,,yes
Ormenos,Ορμενος,,sea deity,,immortal,1100,1100,male,,,,,,,yes
Simon,Σίμων,,sea deity,,immortal,11200,1100,male,,,,,,,yes
Skelmis,Σκελμις,,sea deity,,immortal,1100,11200,female,,,,,,,yes
Tethys,Τηθύς,,sea deity,"Titan goddess of the sources fresh water, and the mother of the rivers, springs, streams, fountains, and clouds",immortal,1111,1100,female,,,,,,,yes
Thalassa,Θάλασσα,,sea deity,primeval goddess of the sea and consort of Pontos,immortal,111,1111,male,,,,,,,yes
Thaumas,Θαῦμας,,sea deity,god of the wonders of the sea,immortal,1100,111,male,,,,,,,yes
Thoosa,Θόοσα,,sea deity,goddess of swift currents,immortal,1100,1100,male,,,,,,,yes
Triteia,Τριτεια,,sea deity,daughter of Triton and companion of Ares,immortal,100,1100,male,,,,,,,yes
Triton,Τρίτων,,sea deity,fish-tailed son and herald of Poseidon,immortal,11100,100,male,,,,,,,yes
Tritones,Τρίτωνες,,sea deity,fish-tailed spirits in Poseidon's retinue,immortal,1111100,11100,male,,,,,,,yes
Achelois,Ἀχελωΐς,,sky deity,"""she who washes pain away"", a minor moon goddess",immortal,11200,1111100,male,,,,,,,yes
Aeolus/Aiolos,Αίολος,,sky deity,god of the winds.,immortal,1100,11200,male,,,,,,,yes
Aether,Αιθήρ,,sky deity,primeval god of the upper air,immortal,1111,1100,male,,,,,,,yes
Alectrona,Αλεκτρονα,,sky deity,solar goddess of the morning or waking up,immortal,111,1111,male,,,,,,,yes
Aparctias,Απαρκτίας,,sky deity,another name for the north wind (not identified with Boreas),immortal,1100,111,female,,,,,,,yes
Apheliotes,Αφηλιώτης,,sky deity,god of the east wind (when Eurus is considered southeast),immortal,1100,1100,female,,,,,,,yes
Argestes,Αργέστης,,sky deity,another name for the west or northwest wind,immortal,111,1100,male,,,,,,,yes
Caicias,Καικίας,,sky deity,god of the northeast wind,immortal,1100,11200,male,,,,,,,yes
Circios/Thraskias,Κίρκιος/Θρασκίας,,sky deity,god of the north-northwest wind,immortal,1100,1100,male,,,,,,,yes
Euronotus,Ευρονότος,,sky deity,god of the southeast wind,immortal,11200,1111,male,,,,,,,yes
Lips,Λίψ,,sky deity,god of the southwest wind,immortal,1100,111,male,,,,,,,yes
Skeiron,Σκείρων,,sky deity,god of the northwest wind,immortal,1111,1100,male,,,,,,,yes
Arke,Άρκη,,sky deity,messenger of the Titans and twin sister of Iris,immortal,111,1100,male,,,,,,,yes
Astraios,Ἀστραῖος,,sky deity,"Titan god of stars and planets, and the art of astrology",immortal,1100,100,male,,,,,,,yes
The Astra Planeti,Αστρα Πλανετοι,,sky deity,gods of the five wandering stars or planets,immortal,1100,11100,male,,,,,,,yes
Stilbon,Στιλβών,,sky deity,"god of Hermaon, the planet Mercury",immortal,100,1111100,male,,,,,,,yes
Eosphorus,Ηωσφόρος,,sky deity,god of Venus the morning star,immortal,11100,11200,female,,,,,,,yes
Hesperus,Ἓσπερος,,sky deity,god of Venus the evening star,immortal,1111100,1100,female,,,,,,,yes
Pyroeis,Πυρόεις,,sky deity,"god of Areios, the planet Mars",immortal,11200,1111,male,,,,,,,yes
Phaethon,Φαέθων,,sky deity,"god of Dios, the planet Jupiter",immortal,1100,111,male,,,,,,,yes
Phaenon,Φαίνων,,sky deity,"god of Kronion, the planet Saturn",immortal,1111,1100,male,,,,,,,yes
Aurai,Αὖραι,,sky deity,nymphs of the cooling breeze,immortal,111,1100,male,,,,,,,yes
Aura,Αὖρα,,sky deity,"goddess of the breeze and the fresh, cool air of early morning",immortal,1100,111,male,,,,,,,yes
Chaos,Χάος,,sky deity,"the nothingness from which all else sprang, she also represented the lower atmosphere which surrounded the earth",immortal,1100,1100,female,,,,,,,yes
Chione,Χιόνη,,sky deity,goddess of snow and daughter of Boreas,immortal,11200,1100,female,,,,,,,yes
Uranus,Ουρανός,,sky deity,primeval god of the heavens,immortal,1100,11200,male,,,,,,,yes
Hemera,Ημέρα,,sky deity,primeval goddess of the day,immortal,1111,1100,female,,,,,,,yes
The Hesperides,´Εσπερίδες,,sky deity,nymphs that represented a star cluster in the constellation Taurus (Pleiades) and were associated with rain,immortal,111,1111,female,,,,,,,yes
Iris,Ίρις,,sky deity,goddess of the rainbow and divine messenger,immortal,1100,111,female,,,,,,,yes
Nephelai,Νεφέλαι,,sky deity,cloud nymphs,immortal,1100,1100,female,,,,,,,yes
Pandia,Πανδία,,sky deity,daughter of Selene and Zeus,immortal,100,1100,female,,,,,,,yes
Ersa,Ἕρση,,sky deity,goddess of the morning dew,immortal,11100,100,female,,,,,,,yes
Anemoi,Άνεμοι,,sky deity,gods of the winds,immortal,1111100,11100,male,,,,,,,yes
Boreas,Βορέας,,sky deity,god of the north wind and of winter,immortal,11200,1111100,male,,,,,,,yes
Eurus,Εύρος,,sky deity,god of the unlucky east or southeast wind,immortal,1100,11200,male,,,,,,,yes
Notus,Νότος,,sky deity,god of the south wind,immortal,1111,1100,male,,,,,,,yes
Zephyrus,Ζέφυρος,,sky deity,god of the west wind,immortal,111,1111,male,,,,,,,yes
The Pleiades,Πλειάδες,,sky deity,goddesses of the constellation Pleiades and were associated with rain,immortal,1100,111,female,,,,,,,yes
Alcyone,Αλκυόνη,,sky deity,,immortal,1100,1100,female,,,,,,,yes
Sterope,Στερόπη,,sky deity,,immortal,111,1100,female,,,,,,,yes
Celaeno,Κελαινώ,,sky deity,,immortal,1100,11200,female,,,,,,,yes
Electra,Ηλέκτρα,,sky deity,,immortal,1100,1100,female,,,,,,,yes
Maia,Μαία,,sky deity,,immortal,11200,1111,female,,,,,,,yes
Merope,Μερώπη,,sky deity,,immortal,1100,111,female,,,,,,,yes
Taygete,Ταϋγέτη,,sky deity,,immortal,1111,1100,female,,,,,,,yes
Aetna,Αἴτνη,,rustic deity,goddess of the volcanic Mount Etna in Sicily,immortal,111,1100,male,,,,,,,yes
Amphictyonis,Αμφικτυονίς,,rustic deity,"goddess of wine and friendship between nations, a local form of Demeter",immortal,1100,100,male,,,,,,,yes
Anthousai,Ανθούσαι,,rustic deity,flower nymphs,immortal,1100,11100,male,,,,,,,yes
Aristaeus,Ἀρισταῖος,,rustic deity,"god of bee-keeping, cheese-making, herding, olive-growing, and hunting",immortal,100,1111100,male,,,,,,,yes
Attis,Άττις,,rustic deity,vegetation god and consort of Cybele,immortal,11100,11200,male,,,,,,,yes
Britomartis,Βριτόμαρτις,,rustic deity,"Cretan goddess of hunting and nets used for fishing, fowling and the hunting of small game",immortal,1111100,1100,male,,,,,,,yes
Cabeiri,Κάβειροι,,rustic deity,gods or spirits who presided over the Mysteries of the islands of Lemnos and Samothrace,immortal,11200,1111,male,,,,,,,yes
Aitnaios,Αιτναιος,,rustic deity,see Cabeiri,immortal,1100,111,male,,,,,,,yes
Alkon,Αλκων,,rustic deity,see Cabeiri,immortal,1111,1100,female,,,,,,,yes
Eurymedon,Ευρυμεδών,,rustic deity,see Cabeiri,immortal,111,1100,female,,,,,,,yes
Onnes,Όννης,,rustic deity,see Cabeiri,immortal,1100,111,male,,,,,,,yes
Tonnes,Τόννης,,rustic deity,see Cabeiri,immortal,1100,1100,male,,,,,,,yes
Centaurs,Κένταυροι,,rustic deity,"a race of half-man, half-horse beings",immortal,11200,1100,male,,,,,,,yes
Asbolus,Άσβολος,,rustic deity,Centaur.,immortal,1100,11200,male,,,,,,,yes
Chariclo,Χαρικλώ,,rustic deity,Centaur - wife of the centaur Chiron,immortal,1111,1100,male,,,,,,,yes
Chiron,Χείρων,,rustic deity,Centaur - the eldest and wisest of the Centaurs,immortal,111,1111,male,,,,,,,yes
Eurytion,Ευρυτιων,,rustic deity,Centaur.,immortal,1100,111,male,,,,,,,yes
Nessus,Νέσσος,,rustic deity,Centaur - a ferryman at the river Euenus,immortal,1100,1100,male,,,,,,,yes
Pholus,Φώλος,,rustic deity,Centaur,immortal,100,1100,male,,,,,,,yes
Cercopes,Κέρκοπες,,rustic deity,a pair of monkey-like thieves who plagued the land of Lydia in western Anatolia,immortal,11100,100,male,,,,,,,yes
Akmon,Ακμών,,rustic deity,see Cercopes,immortal,1111100,11100,female,,,,,,,yes
Passalos,Πάσσαλος,,rustic deity,see Cercopes,immortal,11200,1111100,female,,,,,,,yes
Chloris,Χλωρίς,,rustic deity,goddess of flowers and wife of Zephyrus,immortal,1100,11200,male,,,,,,,yes
Comus,Κόμος,,rustic deity,"god of revelry, merrymaking, and festivity",immortal,1111,1100,male,,,,,,,yes
Corymbus,Κόρυμβος,,rustic deity,god of the fruit of the ivy,immortal,111,1111,male,,,,,,,yes
Curetes,Κουρέτες,,rustic deity,"guardians of infant Zeus on Mount Ida, barely distinguished from the Dactyls and the Corybantes",immortal,1100,111,male,,,,,,,yes
Cybele,Κυβέλη,,rustic deity,a Phrygian mountain goddess associated with Rhea,immortal,1100,1100,male,,,,,,,yes
Dactyls,Δάκτυλοι,,rustic deity,"""fingers"", minor deities originally representing fingers of a hand",immortal,111,1100,female,,,,,,,yes
Acmon,Ακμών,,rustic deity,see Dactyls,immortal,1100,11200,female,,,,,,,yes
Damnameneus,Δαμναμενεύς,,rustic deity,see Dactyls,immortal,1100,1100,male,,,,,,,yes
Delas,Δήλας,,rustic deity,see Dactyls,immortal,11200,1111,female,,,,,,,yes
Epimedes,Επιμήδης,,rustic deity,see Dactyls,immortal,1100,111,female,,,,,,,yes
Heracles,,,rustic deity,see Dactyls - not to be confused with the hero Heracles,immortal,1111,1100,female,,,,,,,yes
Iasios,Ιάσιος,,rustic deity,see Dactyls,immortal,111,1100,female,,,,,,,yes
Kelmis,Κελμις,,rustic deity,see Dactyls,immortal,1100,100,female,,,,,,,yes
Skythes,Σκύθης,,rustic deity,see Dactyls,immortal,1100,11100,female,,,,,,,yes
Titias,Τιτίας,,rustic deity,see Dactyls - companions of Cybele,immortal,100,1111100,male,,,,,,,yes
Cyllenus,Κύλληνος,,rustic deity,see Dactyls - companions of Cybele,immortal,11100,11200,male,,,,,,,yes
Dryades,Δρυάδες,,rustic deity,tree and forest nymphs,mortal,1111100,1100,male,,,,,,,yes
Epimeliades,Επιμελίδες,,rustic deity,nymphs of highland pastures and protectors of sheep flocks,mortal,11200,1111,male,,,,,,,yes
Hamadryades,Αμαδρυάδες,,rustic deity,oak tree dryades,mortal,1100,111,male,,,,,,,yes
Hecaterus,Ηεκατερος,,rustic deity,minor god of the hekateris — a rustic dance of quickly moving hands — and perhaps of the skill of hands in general,mortal,1111,1100,female,,,,,,,yes
The Horae,Ώρες,,rustic deity,The Hours,mortal,111,1100,female,,,,,,,yes
Eunomia,Ευνομία,,rustic deity,"The Horae - The goddesses of natural order - Spirit of good order, and springtime goddess of green pastures",mortal,1100,111,female,,,,,,,yes
Dike,Δίκη,,rustic deity,"The Horae - The goddesses of natural order - spirit of justice, may have represented springtime growth",mortal,1100,1100,female,,,,,,,yes
Eirene,Ειρήνη,,rustic deity,The Horae - The goddesses of natural order - spirit of peace and goddess of the springtime,mortal,11200,1100,female,,,,,,,yes
Thallo,Θαλλώ,,rustic deity,"The Horae - The goddesses of springtime growth - goddess of spring buds and shoots, identified with Eirene",mortal,1100,11200,female,,,,,,,yes
Auxo,Αυξώ,,rustic deity,The Horae - The goddesses of springtime growth - goddess of spring growth,mortal,1111,1100,female,,,,,,,yes
Karpo,Καρπώ,,rustic deity,The Horae - The goddesses of springtime growth - goddess of the fruits of the earth,mortal,111,1111,female,,,,,,,yes
Pherousa,Φέρουσα,,rustic deity,The Horae - The goddesses of welfare - the bringer,mortal,1100,111,male,,,,,,,yes
Euporie,Ευπορίη,,rustic deity,The Horae - The goddesses of welfare - abundance,mortal,1100,1100,male,,,,,,,yes
Orthosie,Ορθοσίη,,rustic deity,The Horae - The goddesses of welfare - prosperity,mortal,100,1100,male,,,,,,,yes
Auge,Αυγή,,rustic deity,The Horae - The goddesses of the natural portions of time and the times of day -  first light of the morning,mortal,11100,100,male,,,,,,,yes
Anatole/Anatolia,Ανατολή/Ανατολία,,rustic deity,The Horae - The goddesses of the natural portions of time and the times of day -  sunrise,mortal,1111100,11100,male,,,,,,,yes
Mousika or Musica,Μουσική,,rustic deity,The Horae - The goddesses of the natural portions of time and the times of day -  the morning hour of music and study,mortal,11200,1111100,male,,,,,,,yes
"Gymnastika, Gymnastica/Gymnasia",Γυμναστίκή/Γυμνασία,,rustic deity,The Horae - The goddesses of the natural portions of time and the times of day -  the morning hour of gymnastics/exercise,mortal,1100,11200,male,,,,,,,yes
Nymphe,Νυμφή,,rustic deity,"The Horae - The goddesses of the natural portions of time and the times of day -  the morning hour of ablutions (bathing, washing)",mortal,1111,1100,male,,,,,,,yes
Mesembria,Μεσημβρία,,rustic deity,The Horae - The goddesses of the natural portions of time and the times of day -  noon,mortal,111,1111,female,,,,,,,yes
Sponde,Σπονδή,,rustic deity,The Horae - The goddesses of the natural portions of time and the times of day -  libations poured after lunch,mortal,1100,111,female,,,,,,,yes
Elete,,,rustic deity,"The Horae - The goddesses of the natural portions of time and the times of day -  prayer, the first of the afternoon work hours",mortal,1100,1100,male,,,,,,,yes
"Akte, Acte/Cypris",Ακτή/Κυπρίς,,rustic deity,"The Horae - The goddesses of the natural portions of time and the times of day -  eating and pleasure, the second of the afternoon work hours",mortal,111,1100,male,,,,,,,yes
Hesperis,Έσπερίς,,rustic deity,The Horae - The goddesses of the natural portions of time and the times of day -  evening,mortal,1100,11200,male,,,,,,,yes
Dysis,Δύσις,,rustic deity,The Horae - The goddesses of the natural portions of time and the times of day -  sunset,immortal,1100,1100,male,,,,,,,yes
Arktos,Άρκτος,,rustic deity,"The Horae - The goddesses of the natural portions of time and the times of day -  night sky, constellation",immortal,11200,1111,male,,,,,,,yes
Eiar,Είαρ,,rustic deity,The Horae - The goddesses of seasons of the year -  spring,immortal,1100,111,male,,,,,,,yes
Theros,Θέρος,,rustic deity,The Horae - The goddesses of seasons of the year -  summer,immortal,1111,1100,male,,,,,,,yes
Pthinoporon,Φθινόπωρον,,rustic deity,The Horae - The goddesses of seasons of the year -  autumn,immortal,111,1100,male,,,,,,,yes
Cheimon,Χειμών,,rustic deity,The Horae - The goddesses of seasons of the year -  winter,immortal,1100,100,male,,,,,,,yes
Korybantes,Κορύβαντες,,rustic deity, the crested dancers who worshipped Cybele,immortal,1100,11100,male,,,,,,,yes
Damneus,Δαμνεύς,,rustic deity,"Korybantes - the crested dancers who worshipped Cybele - ""the one who tame""",immortal,100,1111100,female,,,,,,,yes
Idaios,Ιδαίος,,rustic deity,"Korybantes - the crested dancers who worshipped Cybele - ""of Mount Ida""",immortal,11100,11200,female,,,,,,,yes
Kyrbas,Κύρβας,,rustic deity,"Korybantes - the crested dancers who worshipped Cybele - whose name is probably a variant of Korybas, singular for ""Korybantes""",immortal,1111100,1100,male,,,,,,,yes
Okythoos,Ωκύθοος,,rustic deity,"Korybantes - the crested dancers who worshipped Cybele - ""the one running swiftly""",immortal,11200,1111,male,,,,,,,yes
Prymneus,Πρυμνεύς,,rustic deity,"Korybantes - the crested dancers who worshipped Cybele - ""of lower area""",immortal,1100,111,male,,,,,,,yes
Pyrrhichos,Πυρῥιχος,,rustic deity,Korybantes - the crested dancers who worshipped Cybele - god of the rustic dance,mortal,1111,1100,male,,,,,,,yes
Maenades,μαινάδες,,rustic deity, crazed nymphs in the retinue of Dionysus,mortal,111,1100,male,,,,,,,yes
Methe,Μέθη,,rustic deity, nymph of drunkenness,mortal,1100,1111,female,,,,,,,yes
Meliae,Μελίαι,,rustic deity, nymphs of honey and the ash tree,mortal,1100,111,female,,,,,,,yes
Naiades,Ναιάδες,,rustic deity,fresh water nymphs.,mortal,11200,1100,male,,,,,,,yes
Daphne,Δάφνη,,rustic deity,see Naiades - fresh water nymph.,mortal,1100,1100,female,,,,,,,yes
Metope,Μετώπη,,rustic deity,see Naiades - fresh water nymph.,mortal,1111,11200,female,,,,,,,yes
Minthe,Μίνθη,,rustic deity,see Naiades - fresh water nymph.,mortal,111,1100,female,,,,,,,yes
The Nymphai Hyperboreioi,Νύμφαι Υπερβόρειοι,,rustic deity,The Nymphai Hyperboreioi - who presided over aspects of archery,mortal,1100,1111,female,,,,,,,yes
Hekaerge,Εκαέργη,,rustic deity,The Nymphai Hyperboreioi - who presided over aspects of archery - represented distancing,mortal,1100,111,female,,,,,,,yes
Loxo,Λοξώ,,rustic deity,The Nymphai Hyperboreioi - who presided over aspects of archery - represented trajectory,mortal,100,1100,female,,,,,,,yes
Oupis,Ουπις,,rustic deity,The Nymphai Hyperboreioi - who presided over aspects of archery - represented aim,mortal,11100,1100,male,,,,,,,yes
Oreades,Ὀρεάδες,,rustic deity,mountain nymphs,mortal,1111100,100,male,,,,,,,yes
Adrasteia,Αδράστεια,,rustic deity,Oreades - mountain nymphs - a nursemaid of the infant Zeus,mortal,11200,11100,male,,,,,,,yes
Echo,Ηχώ,,rustic deity,Oreades - mountain nymphs - a nymph cursed never to speak except to repeat the words of others,mortal,1100,1111100,male,,,,,,,yes
Oceanides,Ωκεανίδες,,rustic deity,fresh water nymphs,mortal,1111,11200,male,,,,,,,yes
Beroe,Βερόη,,rustic deity,"see Oceanides - fresh water nymph - A nymph of Beirut, the daughter of Aphrodite and Adonis, who was wooed by both Dionysus and Poseidon",mortal,111,1100,female,,,,,,,yes
Calypso,Καλυψώ,,rustic deity,see Oceanides - fresh water nymph,mortal,1100,1111,female,,,,,,,yes
Clytie,Κλυτίη,,rustic deity,see Oceanides - fresh water nymph,mortal,1100,111,female,,,,,,,yes
Idyia,Ίδυια,,rustic deity,"see Oceanides - fresh water nymph - wife of the Colchian king Aeetes, mother of Medea",mortal,1111,1100,female,,,,,,,yes
Acaste,,,rustic deity,see Oceanides,mortal,111,1100,female,,,,,,,yes
Admete,,,rustic deity,see Oceanides,mortal,1100,1111,female,,,,,,,yes
Adrasteia,,,rustic deity,"see Oceanides - Hyginus, Fabulae 182",mortal,1100,111,female,,,,,,,yes
Aethra,,,rustic deity,"see Oceanides - Hyginus, Astronomica 2.21; Pherecydes of Leros, fr. 90c Fowler; Ovid, Fasti 5.171",mortal,11200,1100,female,,,,,,,yes
Aetna,,,rustic deity,"see Oceanides - Stephanus of Byzantium, s.v. Παλιχη",immortal,1100,1100,female,,,,,,,yes
Amalthea,,,rustic deity,"see Oceanides - Hyginus, Fabulae 182;[6] Schol. ad Hom. II. 21.194; usually not an Oceanid, e.g. Apollodorus, 2.7.5",immortal,1111,11200,male,,,,,,,yes
Amphirho,,,rustic deity,see Oceanides,immortal,111,1100,male,,,,,,,yes
Amphitrite,,,rustic deity,"see Oceanides - Also Apollodorus, 1.4.5; the name of a Nereid at Hesiod, Theogony, 243, 254, and Apollodorus, 1.2.7",immortal,1100,1111,male,,,,,,,yes
Argia/Argea,,,rustic deity,"see Oceanides - Also Hyginus, Fabulae 143",immortal,1100,111,male,,,,,,,yes
Asia,,,rustic deity,"see Oceanides - Andron of Halicarnassus fr. 7 Fowler [= FGrHist 10 F 7] (mother is Pompholyge);[7] the name of a Nereid at Hyginus, Fabulae Th. 8",immortal,100,1100,male,,,,,,,yes
Asterodia,,,rustic deity,"see Oceanides - Scholia on Apollonius of Rhodes, Argonautica 3.242 (Parisian, Florentine).",immortal,11100,1100,male,,,,,,,yes
Asterope,,,rustic deity,"see Oceanides - Stephanus of Byzantium, s.v. Akragantes",immortal,1111100,100,male,,,,,,,yes
Beroe,,,rustic deity,"see Oceanides - Virgil, Georgics 4.341; cf. Nonnus, Dionysiaca 41.153; the name of a Nereid at Hyginus, Fabulae Th. 8",immortal,11200,11100,male,,,,,,,yes
Callirhoe,,,rustic deity,"see Oceanides - Apollodorus, 2.5.10",immortal,1100,1111100,male,,,,,,,yes
Calypso,,,rustic deity,"see Oceanides - The name of a Nereid at Apollodorus, 1.2.7; ""probably not"" the same as the Calypso who was the lover of Odysseus[8]",immortal,1111,11200,male,,,,,,,yes
Camarina,,,rustic deity,"see Oceanides - Pindar, Olympian 5.1–4",immortal,111,1100,female,,,,,,,yes
Capheira,,,rustic deity,"see Oceanides - Diodorus Siculus, 5.55",immortal,1100,1111,female,,,,,,,yes
Cerceis,,,rustic deity,see Oceanides,immortal,1100,111,male,,,,,,,yes
Ceto,,,rustic deity,"see Oceanides - Nonnus, Dionysiaca 26.355; the name of a Nereid at Apollodorus, 1.2.7",immortal,1111,1100,male,,,,,,,yes
Chryseis,,,rustic deity,see Oceanides,immortal,111,1100,male,,,,,,,yes
Clio/Cleio,,,rustic deity,"see Oceanides - Virgil, Georgics 4.341; the name of a Nereid at Hyginus, Fabulae Th. 8",immortal,1100,1111,male,,,,,,,yes
Clitemneste,,,rustic deity,see Oceanides,immortal,1100,111,male,,,,,,,yes
Clymene,,,rustic deity,"see Oceanides - Hyginus, Fabulae 156; Tzetzes, Chiliades 4.19.359; possibly the same as at Virgil, Georgics 4.345; the name of a Nereid at Hyginus, Fabulae Th. 8",immortal,11200,1100,male,,,,,,,yes
Clytie/Clytia,,,rustic deity,see Oceanides,immortal,1100,1100,male,,,,,,,yes
Coryphe,,,rustic deity,"see Oceanides - Cicero, De Natura Deorum 3.59",immortal,1111,11200,male,,,,,,,yes
Daeira,,,rustic deity,"see Oceanides - Pausanias, 1.38.7; cf. Pherecydes of Leros, fr. 45 Fowler (called a sister of Styx)",immortal,111,1100,male,,,,,,,yes
Dione,,,rustic deity,"see Oceanides - The name of a Nereid at Apollodorus, 1.2.7",immortal,1100,1111,male,,,,,,,yes
Dodone,,,rustic deity,"see Oceanides - Epaphroditus, fr. 57 Braswell–Billerbeck[9]",immortal,1100,111,female,,,,,,,yes
Doris,,,rustic deity,"see Oceanides - The name of a Nereid at Hyginus, Fabulae Th. 8",immortal,100,1100,female,,,,,,,yes
Electra,,,rustic deity,see Oceanides,immortal,11100,1100,male,,,,,,,yes
Ephyra,,,rustic deity,"see Oceanides - Hyginus, Fabulae 275.6; Eumelus fr. 1 Fowler (apud Pausanias, 2.1.1); possibly the same as at Virgil, Georgics 4.343; the name of a Nereid at Hyginus, Fabulae Th. 8",immortal,1111100,100,male,,,,,,,yes
Euagoreis,,,rustic deity,see Oceanides,immortal,11200,11100,male,,,,,,,yes
Eudora,,,rustic deity,"see Oceanides - The name of a Nereid at Apollodorus, 1.2.7",immortal,1100,1111100,male,,,,,,,yes
